scene_name;scene_id;scene_ver;cntrl_tag;inner_x;inner_y;level_name;class_name;(Inverted) Integrated Intensity Layer 1;Rel. Border Length;Sphericity;Mean Layer 1;Mean Layer 2;Mean Layer 3;Min. pixel value Layer 1;Max. pixel value Layer 1;Range Layer 1;Standard deviation Layer 1;Standard deviation Layer 2;Standard deviation Layer 3;HSI Transformation Hue(R='Layer 1' G='Layer 2' B='Layer 3');HSI Transformation Saturation(R=Layer 1 G=Layer 2 B=Layer 3);Area (Pxl);Border length (Pxl);Length/Width;Border index;Elliptic Fit;Roundness;Shape index;GLCM Homogeneity (quick 8/11) Layer 1 (0°);GLCM Homogeneity (quick 8/11) Layer 2 (0°);GLCM Homogeneity (quick 8/11) Layer 3 (0°);GLCM Homogeneity (quick 8/11) Layer 1 (45°);GLCM Homogeneity (quick 8/11) Layer 2 (45°);GLCM Homogeneity (quick 8/11) Layer 3 (45°);GLCM Homogeneity (quick 8/11) Layer 1 (90°);GLCM Homogeneity (quick 8/11) Layer 2 (90°);GLCM Homogeneity (quick 8/11) Layer 3 (90°);GLCM Homogeneity (quick 8/11) Layer 1 (135°);GLCM Homogeneity (quick 8/11) Layer 2 (135°);GLCM Homogeneity (quick 8/11) Layer 3 (135°);X Center (Pxl);Y Center (Pxl)
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1705;161;Cell Level (250x250ROI);Granulocyte nucleus;112904;0.15146579805;0.5185425999;163.05863192;169.46905537;184.8713355;112;203;91;22.103211009;16.397341886;10.631971597;0.6176858558;0.11798856498;1228;186;1.4476716083;1.2739726027;0.84853420195;0.44992483199;1.3269475884;0.19767466187;0.27912893891;0.2961577177;0.13410423696;0.17292051017;0.20740760863;0.20006430149;0.25904464722;0.27744981647;0.20174244046;0.26535177231;0.24077773094;1717.6734528;1738.4429967
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1291;407;Cell Level (250x250ROI);Granulocyte nucleus;208003;0.10896309315;0.65033967223;163.6102812;168.01230228;183.793058;103;221;118;31.785372332;25.594973346;15.343024644;0.63031536631;0.10981250882;2276;248;1.2799486614;1.2783505155;0.86731107206;0.31325591611;1.2995876053;0.22152042389;0.2879601419;0.27906218171;0.15931627154;0.21324802935;0.21936105192;0.20554086566;0.25718650222;0.27174288034;0.14761830866;0.18638660014;0.22024546564;1281.0997364;1482.0395431
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1569;132;Cell Level (250x250ROI);Granulocyte nucleus;71715;0.1824729892;0.62645802127;168.90756303;176.9939976;192.45258103;107;225;118;29.363677376;22.512447404;15.29314894;0.60942572104;0.12234191862;833;152;1.0555555556;1.2881355932;0.83913565426;0.412394983;1.3166219645;0.1408483386;0.1874166131;0.22086000443;0.11926857382;0.13670881093;0.19094823301;0.14970462024;0.21372534335;0.24393843114;0.10237079859;0.14169692993;0.1911521405;1574.8733493;1768.5636255
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1519;72;Cell Level (250x250ROI);Granulocyte nucleus;249828;0.11544227886;0.50701027443;161.36131934;167.87743628;183.11656672;99;216;117;30.453442777;22.668814659;14.704010556;0.61674677969;0.11880545691;2668;308;1.7711980136;1.4259259259;0.81034482759;0.45977762529;1.4907259534;0.20846827328;0.27186444402;0.26358801126;0.13044145703;0.1758569032;0.18833108246;0.19234742224;0.25373336673;0.27764773369;0.1813788861;0.25508069992;0.23263423145;1539.1525487;1812.4550225
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1019;1658;Cell Level (250x250ROI);Granulocyte nucleus;190607;0.10489813611;0.64385538674;172.37884699;181.44343303;196.12743823;119;218;99;22.021927124;16.563251347;9.5853009569;0.60305176316;0.12108755133;2307;242;1.4157201695;1.2222222222;0.88123103598;0.31672110842;1.2595968834;0.20488893986;0.27204740047;0.28136253357;0.14501579106;0.18916076422;0.22168445587;0.23448941112;0.29835596681;0.31207689643;0.19119310379;0.25687852502;0.25085988641;1032.2542263;236.49913307
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1016;1598;Cell Level (250x250ROI);Granulocyte nucleus;176194;0.11050724638;0.60517513775;175.20199275;183.40307971;196.97644928;120;229;109;23.231681182;18.274492933;12.046196844;0.60389367278;0.11054345127;2208;244;1.2258339637;1.2708333333;0.8134057971;0.44453658028;1.2981662094;0.19422882795;0.24737864733;0.26035821438;0.14939895272;0.19207668304;0.19723378122;0.20400540531;0.25017130375;0.2491427511;0.14363922179;0.19290603697;0.20359364152;1029.3922101;290.44927536
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1103;1445;Cell Level (250x250ROI);Granulocyte nucleus;196998;0.10243492863;0.65820239285;172.29722922;181.00671704;195.77036104;126;225;99;23.59127158;18.123675927;10.895183915;0.604826546;0.11990135635;2382;244;1.2964910737;1.2323232323;0.87321578505;0.37830984512;1.249853056;0.19637942314;0.27097186446;0.27021613717;0.16359464824;0.22898836434;0.23391832411;0.208234936;0.27769637108;0.28135114908;0.13771520555;0.19334903359;0.20965377986;1106.1041142;445.93492863
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;517;731;Cell Level (250x250ROI);Granulocyte nucleus;266781;0.10030090271;0.59701921849;165.80541625;172.82447342;188.44934804;99;216;117;28.134894721;21.421521755;11.103447741;0.61500413418;0.1201592472;2991;300;1.1554551786;1.3636363636;0.87629555333;0.34270626026;1.3713649863;0.22159861028;0.27558597922;0.29820263386;0.16034927964;0.21525447071;0.23234143853;0.20655556023;0.26273337007;0.28558510542;0.1655497998;0.2122323513;0.24210770428;507.22250084;1151.9904714
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1658;482;Cell Level (250x250ROI);Granulocyte nucleus;199127;0.1111589832;0.57375087019;169.20637656;176.70012925;192.56742783;115;214;99;23.467084813;17.480626193;10.426900251;0.61320337139;0.12131361744;2321;258;1.8012943119;1.2772277228;0.86816027574;0.33583557203;1.338819855;0.19169844687;0.26144883037;0.28763318062;0.17099173367;0.23492334783;0.24119797349;0.2308062315;0.30057960749;0.29502928257;0.12987342477;0.18657369912;0.22335772216;1646.7292115;1411.4073675
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1507;137;Cell Level (250x250ROI);Granulocyte nucleus;181912;0.10944309927;0.63918259626;166.90702179;172.47554479;188.35496368;117;224;107;28.939915615;23.4692423;15.39197004;0.62339504779;0.11386979918;2065;226;1.0885749492;1.2282608696;0.82857142857;0.36083693033;1.243335746;0.19628027081;0.24833238125;0.27637782693;0.15595039725;0.19050075114;0.2015529722;0.20853102207;0.25553849339;0.26410102844;0.14771403372;0.17258885503;0.20861585438;1516.9038741;1759.5096852
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1608;91;Cell Level (250x250ROI);Granulocyte nucleus;154553;0.12596553773;0.65228462664;163.16815211;169.79382056;186.11705288;124;207;83;23.176598789;17.470141844;11.842949837;0.61854767021;0.12330358996;1683;212;1.1304347826;1.2771084337;0.85977421272;0.31636049041;1.291914616;0.20921345055;0.27422732115;0.29304435849;0.16319622099;0.21589326859;0.23930555582;0.22406181693;0.28982642293;0.30270168185;0.17649056017;0.23713506758;0.23612765968;1602.4786096;1807.4180036
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1288;22;Cell Level (250x250ROI);Granulocyte nucleus;146234;0.13294117647;0.48072977445;168.98;175.43764706;188.05941176;118;219;101;25.837766704;19.746814942;13.092903318;0.61025641026;0.10145417124;1700;226;1.4424083301;1.3294117647;0.83529411765;0.49046507478;1.3703262815;0.1832831651;0.21828827262;0.23395289481;0.15195724368;0.17576982081;0.20059688389;0.18173018098;0.2473063916;0.26149347425;0.16397809982;0.20327374339;0.20064274967;1305.0776471;1876.5170588
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1208;8;Cell Level (250x250ROI);Granulocyte nucleus;179989;0.11742059673;0.60807732805;168.38354187;174.53897979;187.62415784;106;224;118;31.038298838;23.503407721;14.741230689;0.61334683941;0.10254871333;2078;244;1.1553219702;1.3260869565;0.86621751684;0.32789937688;1.3381569789;0.1979996711;0.26133099198;0.26779654622;0.13289579749;0.17424505949;0.20063737035;0.19025139511;0.24038077891;0.258885324;0.14601489902;0.20669318736;0.20358668268;1218.3917228;1884.1438884
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1342;0;Cell Level (250x250ROI);Granulocyte nucleus;88812;0.17745302714;0.55786703204;162.29436326;169.42901879;181.91127349;110;204;94;24.197624704;18.344496062;11.437743723;0.60605012505;0.10783779286;958;170;2.1538461538;1.25;0.72233820459;0.57757646101;1.3731126732;0.19264617562;0.27459973097;0.28783881664;0.18102495372;0.24006384611;0.21922966838;0.16679918766;0.22784005105;0.25104418397;0.14045776427;0.21067655087;0.20447829366;1368.5334029;1910.1732777
