scene_name;scene_id;scene_ver;cntrl_tag;inner_x;inner_y;level_name;class_name;(Inverted) Integrated Intensity Layer 1;Rel. Border Length;Sphericity;Mean Layer 1;Mean Layer 2;Mean Layer 3;Min. pixel value Layer 1;Max. pixel value Layer 1;Range Layer 1;Standard deviation Layer 1;Standard deviation Layer 2;Standard deviation Layer 3;HSI Transformation Hue(R='Layer 1' G='Layer 2' B='Layer 3');HSI Transformation Saturation(R=Layer 1 G=Layer 2 B=Layer 3);Area (Pxl);Border length (Pxl);Length/Width;Border index;Elliptic Fit;Roundness;Shape index;GLCM Homogeneity (quick 8/11) Layer 1 (0°);GLCM Homogeneity (quick 8/11) Layer 2 (0°);GLCM Homogeneity (quick 8/11) Layer 3 (0°);GLCM Homogeneity (quick 8/11) Layer 1 (45°);GLCM Homogeneity (quick 8/11) Layer 2 (45°);GLCM Homogeneity (quick 8/11) Layer 3 (45°);GLCM Homogeneity (quick 8/11) Layer 1 (90°);GLCM Homogeneity (quick 8/11) Layer 2 (90°);GLCM Homogeneity (quick 8/11) Layer 3 (90°);GLCM Homogeneity (quick 8/11) Layer 1 (135°);GLCM Homogeneity (quick 8/11) Layer 2 (135°);GLCM Homogeneity (quick 8/11) Layer 3 (135°);X Center (Pxl);Y Center (Pxl)
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;626;1589;Cell Level (250x250ROI);Granulocyte nucleus;155833;0.12037037037;0.68911725873;164.81886574;173.02372685;186.83506944;116;215;99;25.77264719;18.764593506;9.3371766266;0.60455437564;0.11783764027;1728;208;1.0638297872;1.2380952381;0.88657407407;0.28522346025;1.2509255832;0.21079856157;0.28861477971;0.30485263467;0.16276676953;0.21683689952;0.23892447352;0.22538198531;0.30361604691;0.29588085413;0.18413096666;0.22983369231;0.24511630833;634.21990741;307.94675926
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;665;1540;Cell Level (250x250ROI);Granulocyte nucleus;194995;0.10494362533;0.70397752469;170.44015611;176.59973981;190.24631396;121;230;109;24.204608465;18.13696517;9.7718131395;0.61483443902;0.10410797159;2306;242;1.3617021277;1.2222222222;0.87077189939;0.33338130463;1.2598699667;0.23674842715;0.32558250427;0.30532005429;0.15949657559;0.21845035255;0.23314283788;0.18823391199;0.26139384508;0.2812872231;0.13344557583;0.18388691545;0.2305252403;664.1461405;349.75195143
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;279;796;Cell Level (250x250ROI);Granulocyte nucleus;154321;0.12389380531;0.69175470826;157.45195954;162.2136536;174.8710493;111;227;116;27.855390626;27.607390419;27.703410385;0.6211065549;0.099611055284;1582;196;1.6857142857;1.1807228916;0.84323640961;0.36832594494;1.2319493151;0.25708606839;0.34008458257;0.27094724774;0.14422433078;0.20479604602;0.18408806622;0.18734434247;0.22099208832;0.2219350785;0.1718083322;0.17274774611;0.18092544377;275.7414665;1095.5436157
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;527;202;Cell Level (250x250ROI);Granulocyte nucleus;129631;0.14646464646;0.62214952913;145.88299663;152.60942761;168.9040404;99;202;103;24.6328723;21.54645702;25.817167647;0.61796896901;0.13629658424;1188;174;1.0526315789;1.2428571429;0.8367003367;0.39056992373;1.2620630057;0.24305038154;0.29378297925;0.24817346036;0.15047630668;0.20714986324;0.18571251631;0.2118512392;0.28331485391;0.24605815113;0.14883874357;0.22805958986;0.21073257923;539.00757576;1698.8072391
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;789;1843;Cell Level (250x250ROI);Granulocyte nucleus;75732;0.16816816817;0.66881994965;179.19219219;186.23623624;197.03203203;135;221;86;22.014261896;16.230270174;8.7337995299;0.60085848951;0.09054284045;999;168;1.563529357;1.2727272727;0.88188188188;0.22971628201;1.3288211941;0.20378801227;0.25851970911;0.28474768996;0.11623542756;0.15196244419;0.20110331476;0.18801148236;0.25982630253;0.28365051746;0.15751077235;0.25418388844;0.24430605769;801.57807808;56.372872873
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;251;675;Cell Level (250x250ROI);Granulocyte nucleus;178901;0.11764705882;0.71458657861;155.7208657;163.89123196;178.06048835;111;220;109;27.346084209;21.457216569;18.399024107;0.60571094992;0.1254608636;1802;212;1.6959782067;1.191011236;0.90566037736;0.21584820846;1.2485285457;0.22797188163;0.33064749837;0.2949475348;0.11892604828;0.18696214259;0.19615191221;0.16772454977;0.22459153831;0.23826859891;0.16197830439;0.21850210428;0.22202542424;260.34461709;1213.4278579
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;0;533;Cell Level (250x250ROI);Granulocyte nucleus;84159;0.18518518519;0.60859086919;151.1;165.64938272;185.92962963;107;219;112;34.458507882;27.967759761;18.209039571;0.59704499267;0.18732694568;810;150;2.3636363636;1.1904761905;0.70617283951;0.48216997983;1.3176156917;0.21228531003;0.270511657;0.28152793646;0.14273829758;0.17703656852;0.20122165978;0.17272256315;0.19809243083;0.2246491015;0.15194346011;0.19913777709;0.20255720615;8.9962962963;1362.0259259
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;564;178;Cell Level (250x250ROI);Granulocyte nucleus;169403;0.1233580811;0.68050927941;158.25356939;167.16047973;184.56767561;106;217;111;27.30653264;21.447183279;13.014417398;0.6102526261;0.14257158594;1751;216;1.5846627487;1.2413793103;0.87321530554;0.29800226109;1.2904782427;0.19294722378;0.27099373937;0.2491325736;0.14625786245;0.19135275483;0.20558963716;0.20148915052;0.25299614668;0.29483616352;0.17894470692;0.24883534014;0.22837410867;581.09166191;1718.7095945
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;1842;331;Cell Level (250x250ROI);Lymphocyte Nucleus;82969;0.17270788913;0.64983031576;166.54690832;171.74307036;184.43070362;143;196;53;11.29184641;8.8812996776;8.0185017753;0.6182414307;0.096967559944;938;162;1.0540540541;1.3064516129;0.88486140725;0.31866565882;1.3223718756;0.25708907843;0.38517186046;0.30375832319;0.24350510538;0.3371065855;0.24619092047;0.26917815208;0.36718982458;0.29408016801;0.19972205162;0.25564411283;0.22101008892;1845.8571429;1571.4136461
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;1623;133;Cell Level (250x250ROI);Lymphocyte Nucleus;65626;0.19419642857;0.51279053569;181.75669643;183.88169643;194.64285714;171;201;30;4.7069192777;3.222663159;4.2865698551;0.63918240083;0.06620412844;896;174;1.7842534427;1.380952381;0.85044642857;0.52565369178;1.4532330029;0.37278273702;0.47501221299;0.30974662304;0.28202456236;0.38540050387;0.25938406587;0.32374599576;0.43227905035;0.33354359865;0.27689701319;0.38058766723;0.26108950377;1623.9051339;1761.9397321
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;1896;1458;Cell Level (250x250ROI);Lymphocyte Nucleus;82020;0.18531073446;0.50489882832;162.3220339;167.61016949;185.28022599;139;187;48;10.694695889;7.5277646891;5.3598743508;0.62827706139;0.12391064383;885;164;1.6211134303;1.3225806452;0.76949152542;0.49912156403;1.3781999232;0.32125675678;0.45548421144;0.32113802433;0.26186424494;0.36334064603;0.29190960526;0.26824972034;0.36992293596;0.31412106752;0.20046056807;0.27878060937;0.24210497737;1892.6728814;438.36779661
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;174;728;Cell Level (250x250ROI);Lymphocyte Nucleus;97407;0.14764079148;0.60727220718;180.86986301;183.51598174;193.48401826;166;203;37;6.288155773;5.2606465495;3.7660023239;0.63170437406;0.065194817455;1314;194;1.258184455;1.3108108108;0.86605783866;0.36542560552;1.3379628532;0.31229954958;0.42649614811;0.32601878047;0.23698295653;0.35097849369;0.26780280471;0.30106526613;0.42401558161;0.33218023181;0.24640522897;0.35031229258;0.26350307465;169.17123288;1166.5121766
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;1829;358;Cell Level (250x250ROI);Lymphocyte Nucleus;56382;0.22799422799;0.49318190944;173.64069264;178.62481962;192.26406926;147;205;58;12.62761881;9.2635340794;6.7985521042;0.62206208998;0.096863530948;693;158;2.0419798734;1.3859649123;0.77489177489;0.54017800754;1.5004809234;0.221964553;0.30856141448;0.31765335798;0.23221689463;0.34805560112;0.27095484734;0.21670742333;0.32208681107;0.2783100307;0.1251180172;0.19886487722;0.22839097679;1822.6760462;1542.8376623
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;1696;1875;Cell Level (250x250ROI);Lymphocyte Nucleus;158820;0.12639894668;0.70540304476;150.4443713;158.45292956;176.76234365;108;208;100;26.194505268;21.057030689;22.314220308;0.61595000459;0.14888902131;1519;192;1.5405405405;1.1851851852;0.9025674786;0.24594844212;1.2315792139;0.16399239004;0.1889757663;0.2174436301;0.15366506577;0.18866683543;0.2001760751;0.25471398234;0.33836600184;0.27503341436;0.13861620426;0.17225255072;0.18990063667;1706.5631995;25.863396972
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;756;1884;Cell Level (250x250ROI);Lymphocyte Nucleus;77024;0.14477211796;0.62850507371;186.16711349;189.13762288;197.70956211;164;217;53;11.335951563;8.1711367867;5.6707871014;0.62377413028;0.058380831416;1119;162;1.1111111111;1.1911764706;0.81590705987;0.4582960174;1.210709583;0.27739396691;0.39989602566;0.31591457129;0.18817430735;0.26987582445;0.23988504708;0.24732227623;0.35578596592;0.30913969874;0.21161106229;0.3062427938;0.25757840276;762.62600536;15.95844504
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;722;1832;Cell Level (250x250ROI);Lymphocyte Nucleus;64127;0.18626309662;0.48253021474;180.34691502;183.75669383;192.72759022;141;214;73;15.37125431;13.175282402;9.3232129912;0.62076477041;0.064239246646;859;160;1.5500876283;1.3114754098;0.71594877765;0.61673561659;1.3647823879;0.30266058445;0.38191977143;0.32357263565;0.167407915;0.22212788463;0.22556352615;0.21813449264;0.26783680916;0.26534184813;0.19643689692;0.2841321528;0.22573979199;730.60826542;63.565192084
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;1758;1478;Cell Level (250x250ROI);Lymphocyte Nucleus;166881;0.11571185479;0.6304039959;160.34259784;163.84117981;177.23028928;126;214;88;19.36752448;17.15931704;23.808134838;0.63213873868;0.095286711451;1763;204;1.1777777778;1.2;0.78332387975;0.49486994966;1.214630046;0.2298143059;0.30356666446;0.2926286459;0.20820789039;0.24609684944;0.22150027752;0.25154790282;0.29481363297;0.25691649318;0.16451770067;0.20524853468;0.20195281506;1750.8913783;417.02750993
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;1895;1513;Cell Level (250x250ROI);Lymphocyte Nucleus;65769;0.19973368842;0.58784451416;167.42476698;171.45406125;187.24500666;149;185;36;8.0852234351;5.6831759459;4.5674292354;0.63278468257;0.10585189979;751;150;1.5385575932;1.3157894737;0.87749667111;0.35468548223;1.3683944347;0.29629915953;0.42264586687;0.3254993856;0.21296840906;0.35549402237;0.25757881999;0.29875290394;0.41431477666;0.31857782602;0.24175411463;0.33376100659;0.25319391489;1895.7023968;387.19241012
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;1916;1320;Cell Level (250x250ROI);Lymphocyte Nucleus;166323;0.12188365651;0.67086497101;162.85429363;168.98559557;184.24265928;115;213;98;22.255961002;16.696801251;12.389471789;0.61888911914;0.11608802074;1805;220;1.0405081857;1.2790697674;0.89252077562;0.25875467053;1.2945656712;0.22716636956;0.3035607636;0.29305127263;0.18868345022;0.26091194153;0.21373268962;0.2206799835;0.28995344043;0.25821712613;0.18539828062;0.23588778079;0.21209560335;1914.6096953;572.84293629
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;1091;1347;Cell Level (250x250ROI);Lymphocyte Nucleus;98860;0.14653156664;0.61259711024;177.9462198;175.19875292;190.27045986;162;201;39;6.658774248;7.7610614498;5.3225758118;0.69704883557;0.079212017188;1283;188;1.023255814;1.2876712329;0.84255650818;0.35874453496;1.3121531572;0.30129572749;0.37590390444;0.3213300705;0.25731942058;0.31929543614;0.26998654008;0.32649019361;0.39978414774;0.32109832764;0.2351860702;0.29050892591;0.25798258185;1088.4376461;548.94193297
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;656;1228;Cell Level (250x250ROI);Lymphocyte Nucleus;85358;0.15836734694;0.6013493035;185.32;185.23591837;193.2;149;214;65;13.29620354;10.527585517;7.771113439;0.6684262676;0.04122195462;1225;194;1.3403305149;1.3472222222;0.8106122449;0.38790445994;1.3857142857;0.25596338511;0.33822202682;0.29361557961;0.24809460342;0.32796093822;0.24342274666;0.27506247163;0.36699318886;0.27439767122;0.18047183752;0.22924877703;0.21545141935;641.75877551;671.02244898
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;803;1175;Cell Level (250x250ROI);Lymphocyte Nucleus;130655;0.12970969734;0.57403612498;174.29894997;180.41074737;195.45460161;146;209;63;12.633702688;9.7465045126;6.1798959364;0.61851722091;0.10823818658;1619;210;1.3571428571;1.2804878049;0.82581840642;0.51545502573;1.3047757576;0.29076838493;0.41515827179;0.31554955244;0.21335822344;0.28171992302;0.25781968236;0.24707248807;0.33089494705;0.30491176248;0.20309410989;0.29870200157;0.24933545291;794.96263125;713.13187153
image0049;80F637DB-91AF-11E0-AC93-002314783460;24;0;779;1143;Cell Level (250x250ROI);Lymphocyte Nucleus;178961;0.10790990047;0.79923782;161.25405972;167.24515453;184.14824515;117;213;96;21.488674043;16.79122204;9.6578189056;0.62305228235;0.12432475486;1909;206;1.2179812182;1.1573033708;0.94342587742;0.11022796274;1.1787026633;0.24070189893;0.3085513711;0.29271543026;0.18636721373;0.25368776917;0.24088074267;0.22516839206;0.30810728669;0.31147176027;0.17161747813;0.24469600618;0.24128983915;779.39313777;751.1018858
