scene_name;scene_id;scene_ver;cntrl_tag;inner_x;inner_y;level_name;class_name;(Inverted) Integrated Intensity Layer 1;Rel. Border Length;Sphericity;Mean Layer 1;Mean Layer 2;Mean Layer 3;Min. pixel value Layer 1;Max. pixel value Layer 1;Range Layer 1;Standard deviation Layer 1;Standard deviation Layer 2;Standard deviation Layer 3;HSI Transformation Hue(R='Layer 1' G='Layer 2' B='Layer 3');HSI Transformation Saturation(R=Layer 1 G=Layer 2 B=Layer 3);Area (Pxl);Border length (Pxl);Length/Width;Border index;Elliptic Fit;Roundness;Shape index;GLCM Homogeneity (quick 8/11) Layer 1 (0°);GLCM Homogeneity (quick 8/11) Layer 2 (0°);GLCM Homogeneity (quick 8/11) Layer 3 (0°);GLCM Homogeneity (quick 8/11) Layer 1 (45°);GLCM Homogeneity (quick 8/11) Layer 2 (45°);GLCM Homogeneity (quick 8/11) Layer 3 (45°);GLCM Homogeneity (quick 8/11) Layer 1 (90°);GLCM Homogeneity (quick 8/11) Layer 2 (90°);GLCM Homogeneity (quick 8/11) Layer 3 (90°);GLCM Homogeneity (quick 8/11) Layer 1 (135°);GLCM Homogeneity (quick 8/11) Layer 2 (135°);GLCM Homogeneity (quick 8/11) Layer 3 (135°);X Center (Pxl);Y Center (Pxl)
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1532;1232;Cell Level (250x250ROI);Granulocyte nucleus;327119;0.090695856138;0.52235245296;169.74615585;95.435235861;119.58196508;125;230;105;23.109696118;43.383553294;38.751614667;0.94584302186;0.43777674739;3837;348;1.5598740214;1.359375;0.78055772739;0.6162143849;1.404505205;0.2282243073;0.18538181484;0.17482712865;0.1489444375;0.13605642319;0.11724150181;0.20936486125;0.1784799397;0.16243755817;0.17698656023;0.15107229352;0.13721653819;1538.6962471;646.8161324
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1367;1791;Cell Level (250x250ROI);Granulocyte nucleus;186077;0.11993337035;0.50625673608;151.68128817;163.60355358;183.83398112;108;216;108;25.360029008;18.670362057;10.587394691;0.60486642375;0.17490070526;1801;216;1.1398321051;1.2558139535;0.86229872293;0.49528945159;1.2724388;0.18568661809;0.24524271488;0.28089952469;0.1538181752;0.20857262611;0.23542036116;0.22617682815;0.31647452712;0.29640483856;0.13267460465;0.19303973019;0.22890691459;1376.064131;102.62493059
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1841;1176;Cell Level (250x250ROI);Granulocyte nucleus;286720;0.10074374577;0.59315447244;158.06964165;118.02231237;139.17308993;96;214;118;28.693724674;37.382308114;29.913518452;0.91197591311;0.25335243921;2958;298;1.0615384615;1.3545454545;0.77417173766;0.52635408711;1.3698000821;0.21797627211;0.19255818427;0.19779099524;0.18003965914;0.14209449291;0.15552192926;0.26021164656;0.22676874697;0.22891612351;0.161399737;0.15746533871;0.16241924465;1838.7849899;714.79851251
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;331;980;Cell Level (250x250ROI);Granulocyte nucleus;202088;0.12114537445;0.58852954737;143.71806167;152.73237885;169.10737885;97;212;115;29.762992273;27.967550582;30.061831116;0.60749271622;0.15013725216;1816;220;1.4;1.25;0.82599118943;0.48027711238;1.2906389498;0.24996243417;0.32221287489;0.25095579028;0.1499119997;0.20452690125;0.1821615845;0.18302470446;0.23689603806;0.23368604481;0.17447377741;0.21891322732;0.20086322725;328.91740088;910.21420705
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;909;127;Cell Level (250x250ROI);Granulocyte nucleus;252626;0.11059190031;0.48302672691;156.62538941;166.98403427;187.78076324;106;214;108;24.765077102;18.35813614;10.168471248;0.61125276538;0.16591355416;2568;284;1.5254628733;1.3523809524;0.73130841121;0.60126714636;1.4010732424;0.24691353738;0.33543607593;0.31036058068;0.14703373611;0.20303267241;0.22753034532;0.21938481927;0.30328431726;0.30193123221;0.21352885664;0.29693815112;0.27123829722;907.32827103;1756.0529595
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;781;1825;Cell Level (250x250ROI);Granulocyte nucleus;220164;0.11157718121;0.55711323322;162.64932886;119.47567114;141.22860738;107;221;114;25.781858175;38.470618686;31.874560196;0.91602542927;0.26544012214;2384;266;1.4181536506;1.3168316832;0.79781879195;0.44975353424;1.3619730679;0.2249930352;0.21381030977;0.221179232;0.15852200985;0.16130387783;0.16229592264;0.24246916175;0.24278642237;0.22163103521;0.19160282612;0.17381799221;0.16420826316;793.75922819;60.446728188
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1511;1787;Cell Level (250x250ROI);Granulocyte nucleus;209043;0.10948036493;0.62462744255;172.0793336;179.6096787;193.80602935;118;221;103;26.363688722;19.928252145;12.48300945;0.60890097919;0.11210536549;2521;276;1.3797278812;1.3529411765;0.89131297104;0.3412327622;1.3742402611;0.20503519475;0.2916905582;0.30213019252;0.15533277392;0.22027228773;0.22517383099;0.23439113796;0.30768606067;0.29071620107;0.17575259507;0.25179874897;0.24397370219;1514.7261008;104.16679889
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1772;1482;Cell Level (250x250ROI);Granulocyte nucleus;187786;0.11232604374;0.72632091523;161.66699801;169.84343936;187.71769384;113;217;104;28.422061202;22.09022349;13.917315654;0.6143555793;0.13877592087;2012;226;1.4912573255;1.2282608696;0.89363817097;0.21610724287;1.2596052428;0.1827147305;0.22693020105;0.25065168738;0.15317557752;0.19451327622;0.21621486545;0.24764502048;0.33093357086;0.30491191149;0.16338256001;0.2290302664;0.21788594127;1770.9806163;415.48558648
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1413;1196;Cell Level (250x250ROI);Granulocyte nucleus;106386;0.14638157895;0.64896593228;167.51151316;175.46628289;191.65213816;126;218;92;21.86839823;16.909701591;11.23390129;0.61174700505;0.12596063489;1216;178;1.4166666667;1.2361111111;0.84046052632;0.30896376503;1.2761250197;0.22652107477;0.30572959781;0.28494653106;0.12989161909;0.17156472802;0.19886222482;0.15853191912;0.2010999918;0.24280577898;0.15320511162;0.20002047718;0.20979678631;1414.9087171;697.18338816
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1740;601;Cell Level (250x250ROI);Lymphocyte Nucleus;77962;0.15939597315;0.59670051038;189.59563758;190.04949664;197.06963087;170;214;44;8.846239547;6.2320937922;4.9896890864;0.65654581509;0.037925647171;1192;190;1.3062895735;1.338028169;0.85402684564;0.37531662407;1.3758005601;0.3082010746;0.40670979023;0.32297089696;0.24896250665;0.37018457055;0.2669146359;0.29876586795;0.40239658952;0.31434857845;0.21677462757;0.32792750001;0.25302383304;1729.1317114;1294.454698
